Site Name ,FRCH
Site Number ,3
Logger ,Integrating Light Sensor
Logger Serial Number ,11615


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,30/05/2020 , 20:15:00,5000,5000
2,30/05/2020 , 20:30:00,5265,5265
3,30/05/2020 , 20:45:00,5175,5175
4,30/05/2020 , 21:00:00,4494,4494
5,30/05/2020 , 21:15:00,3452,3452
6,30/05/2020 , 21:30:00,2884,2884
7,30/05/2020 , 21:45:00,2475,2475
8,30/05/2020 , 22:00:00,2258,2258
9,30/05/2020 , 22:15:00,1969,1969
10,30/05/2020 , 22:30:00,2098,2098
11,30/05/2020 , 22:45:00,1860,1860
12,30/05/2020 , 23:00:00,1344,1344
13,30/05/2020 , 23:15:00,1146,1146
14,30/05/2020 , 23:30:00,873,873
15,30/05/2020 , 23:45:00,636,636
16,30/05/2020 , 24:00:00,478,478
17,31/05/2020 , 00:15:00,312,312
18,31/05/2020 , 00:30:00,214,214
19,31/05/2020 , 00:45:00,165,165
20,31/05/2020 , 01:00:00,129,129
21,31/05/2020 , 01:15:00,109,109
22,31/05/2020 , 01:30:00,92,92
23,31/05/2020 , 01:45:00,72,72
24,31/05/2020 , 02:00:00,59,59
25,31/05/2020 , 02:15:00,59,59
26,31/05/2020 , 02:30:00,85,85
27,31/05/2020 , 02:45:00,125,125
28,31/05/2020 , 03:00:00,150,150
29,31/05/2020 , 03:15:00,179,179
30,31/05/2020 , 03:30:00,259,259
31,31/05/2020 , 03:45:00,361,361
32,31/05/2020 , 04:00:00,493,493
33,31/05/2020 , 04:15:00,658,658
34,31/05/2020 , 04:30:00,1034,1034
35,31/05/2020 , 04:45:00,1350,1350
36,31/05/2020 , 05:00:00,1842,1842
37,31/05/2020 , 05:15:00,2432,2432
38,31/05/2020 , 05:30:00,2675,2675
39,31/05/2020 , 05:45:00,3718,3718
40,31/05/2020 , 06:00:00,3260,3260
41,31/05/2020 , 06:15:00,3422,3422
42,31/05/2020 , 06:30:00,4041,4041
43,31/05/2020 , 06:45:00,5839,5839
44,31/05/2020 , 07:00:00,11606,11606
45,31/05/2020 , 07:15:00,8380,8380
46,31/05/2020 , 07:30:00,11165,11165
47,31/05/2020 , 07:45:00,14816,14816
48,31/05/2020 , 08:00:00,17896,17896
49,31/05/2020 , 08:15:00,14384,14384
50,31/05/2020 , 08:30:00,15987,15987
51,31/05/2020 , 08:45:00,19120,19120
52,31/05/2020 , 09:00:00,23768,23768
53,31/05/2020 , 09:15:00,22432,22432
54,31/05/2020 , 09:30:00,20944,20944
55,31/05/2020 , 09:45:00,21101,21101
56,31/05/2020 , 10:00:00,27449,27449
57,31/05/2020 , 10:15:00,37271,37271
58,31/05/2020 , 10:30:00,30512,30512
59,31/05/2020 , 10:45:00,31807,31807
60,31/05/2020 , 11:00:00,40859,40859
61,31/05/2020 , 11:15:00,37797,37797
62,31/05/2020 , 11:30:00,41442,41442
63,31/05/2020 , 11:45:00,46991,46991
64,31/05/2020 , 12:00:00,48655,48655
65,31/05/2020 , 12:15:00,47509,47509
66,31/05/2020 , 12:30:00,48031,48031
67,31/05/2020 , 12:45:00,48825,48825
68,31/05/2020 , 13:00:00,49432,49432
69,31/05/2020 , 13:15:00,49821,49821
70,31/05/2020 , 13:30:00,50310,50310
71,31/05/2020 , 13:45:00,47564,47564
72,31/05/2020 , 14:00:00,51631,51631
73,31/05/2020 , 14:15:00,51715,51715
74,31/05/2020 , 14:30:00,54061,54061
75,31/05/2020 , 14:45:00,29743,29743
76,31/05/2020 , 15:00:00,8177,8177
77,31/05/2020 , 15:15:00,5101,5101
78,31/05/2020 , 15:30:00,6019,6019
79,31/05/2020 , 15:45:00,9582,9582
80,31/05/2020 , 16:00:00,8541,8541
81,31/05/2020 , 16:15:00,27769,27769
82,31/05/2020 , 16:30:00,44266,44266
83,31/05/2020 , 16:45:00,16624,16624
84,31/05/2020 , 17:00:00,14921,14921
85,31/05/2020 , 17:15:00,15993,15993
86,31/05/2020 , 17:30:00,12392,12392
87,31/05/2020 , 17:45:00,4962,4962
88,31/05/2020 , 18:00:00,4268,4268
89,31/05/2020 , 18:15:00,3976,3976
90,31/05/2020 , 18:30:00,1703,1703
91,31/05/2020 , 18:45:00,955,955
92,31/05/2020 , 19:00:00,12,12
